id,pm25,pm10,o3,no2,so2,co,t,p,h,w,time,dew,wg,aqi
1257,162,-1,4,1,5,0,26,1005,88,3,1713956400,24,16,162
1273,151,-1,4,1,4,0,30,1007,74,2,1714014000,25,16,151
1289,134,-1,4,1,4,0,28,1001,94,2,1714075200,27,16,134
1305,153,-1,4,1,4,0,32,999,82,4,1714132800,29,16,153
1321,95,-1,4,1,4,0,27,1009,91,4,1714712400,25,-1,95
1337,82,-1,-1,-1,-1,-1,25,1006,94,2,1714773600,24,-1,82
1353,114,-1,-1,-1,-1,-1,27,1004,88,4,1714831200,25,-1,114
1368,107,-1,-1,-1,-1,-1,27,1010,69,4,1714885200,21,-1,107
1384,158,-1,-1,-1,-1,-1,26,1012,88,0,1714953600,24,-1,158
1400,114,-1,-1,-1,-1,-1,25,1013,94,2,1715011200,24,-1,114
1416,151,-1,-1,-1,-1,-1,30,1011,74,2,1715072400,25,-1,151
1432,156,-1,-1,-1,-1,-1,28,1014,86,4,1715133600,26,-1,156
1448,72,-1,-1,-1,-1,-1,27,1012,83,2,1715191200,24,-1,72
1464,95,-1,4,1,4,0,26,1011,88,5,1715248800,24,9,95
1480,87,-1,3,1,4,0,28,1011,74,2,1715601600,23,9,87
1496,99,-1,3,1,4,0,30,1012,66,1,1715659200,23,9,99
1512,68,-1,4,1,4,0,26,1011,94,3,1715716800,25,9,68
1528,78,-1,4,1,5,0,25,1012,94,6,1715774400,24,9,78
1544,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1560,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1576,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1592,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1608,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1624,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1640,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1656,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1672,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1688,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1704,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1720,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1736,37,36,-1,-1,-1,-1,26,1012,83,3,1715860800,23,-1,37
1752,29,32,-1,-1,-1,-1,31,1010,58,3,1715922000,22,-1,32
1768,20,23,-1,-1,-1,-1,28,1006,89,3,1715986800,26,-1,23
1784,13,15,-1,-1,-1,-1,29,1003,88,4,1716044400,27,-1,15
1800,28,24,-1,-1,-1,-1,30,1000,79,5,1716105600,26,-1,28
1258,167,-1,4,1,5,0,26,1005,88,3,1713960000,24,16,167
1274,154,-1,4,1,4,0,31,1006,70,3,1714017600,25,16,154
1290,127,-1,4,1,4,0,28,1002,97,2,1714078800,27,16,127
1306,157,-1,4,1,4,0,31,1000,87,4,1714136400,28,16,157
1322,107,-1,4,1,4,0,27,1008,86,4,1714716000,25,-1,107
1338,80,-1,-1,-1,-1,-1,25,1006,97,2,1714777200,25,-1,80
1354,112,-1,-1,-1,-1,-1,27,1005,88,4,1714834800,25,-1,112
1369,97,-1,-1,-1,-1,-1,28,1009,67,4,1714888800,22,-1,97
1385,160,-1,-1,-1,-1,-1,25,1013,94,2,1714957200,24,-1,160
1401,114,-1,-1,-1,-1,-1,25,1012,88,3,1715014800,23,-1,114
1417,119,-1,-1,-1,-1,-1,29,1011,79,2,1715076000,25,-1,119
1433,124,-1,-1,-1,-1,-1,30,1013,81,4,1715137200,26,-1,124
1449,68,-1,4,1,4,0,27,1012,86,2,1715194800,24,-1,68
1465,102,-1,4,1,4,0,26,1011,86,4,1715252400,24,9,102
1481,124,-1,3,1,4,0,27,1012,83,2,1715605200,24,9,124
1497,107,-1,4,1,4,0,31,1012,64,1,1715662800,23,9,107
1513,78,-1,4,1,4,0,26,1011,94,3,1715720400,25,9,78
1529,102,-1,3,1,5,0,24,1014,100,2,1715778000,24,9,102
1545,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1561,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1577,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1593,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1609,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
1625,33,29,-1,-1,-1,-1,30,1014,62,4,1715824800,22,9,33
